kvalifikovat se,qualify [ˈkwɒl.ɪ.faɪ]
vzorek,sample [ˈsɑːm.pəl]
druhotný,secondary [ˈsek.ən.dri]
sluneční,solar [ˈsəʊ.lər]
nějak,somehow [ˈsʌm.haʊ]
trpět,suffer [ˈsʌf.ər]
konečný,ultimate [ˈʌl.tɪ.mət]
neznámý,unknown [ʌnˈnəʊn]
připojit,attach [əˈtætʃ]
automaticky,automatically [ˌɔː.təˈmæt.ɪ.kəl.i]
baterie,battery [ˈbæt.ər.i]
slepý,blind [blaɪnd]
dech,breath [breθ]
stručný,brief [briːf]
truhla,chest [tʃest]
debut,debut [ˈdeɪ.bju]
věnovat se,engage [ɪnˈɡeɪdʒ]
vnější,external [ɪkˈstɜː.nəl]
představa,fantasy [ˈfæn.tə.si]
popadnout,grab [ɡræb]
bezprostřední,immediate [ɪˈmiː.di.ət]
úvod,introduction [ˌɪn.trəˈdʌk.ʃən]
Oficiální povolení k činnosti,license [ˈlaɪ.səns]
letec,pilot [ˈpaɪ.lət]
růžový,pink [pɪŋk]
prezidentský,presidential [ˌprez.ɪˈden.ʃəl]
ředitel(ka) školy,principal [ˈprɪn.sə.pəl]
(roz)poznat,recognize [ˈrek.əɡ.naɪz]
pravidelně,regularly [ˈreɡ.jə.lə.li]
přepravní poplatky,shipping [ˈʃɪp.ɪŋ]
zpěvák,singer [ˈsɪŋ.ər]
kouření,smoking [ˈsməʊ.kɪŋ]
pára,steam [stiːm]
přežít,survive [səˈvaɪv]
vysoký,tall [tɔːl]
terapie,therapy [ˈθer.ə.pi]
svědek,witness [ˈwɪt.nəs]
adoptovat,adopt [əˈdɒpt]
cíl (zamýšlený),aim [eɪm]
kampus,campus [ˈkæm.pəs]
čepice,cap [kæp]
dětství,childhood [ˈtʃaɪld.hʊd]
klinický,clinical [ˈklɪn.ɪ.kəl]
komedie,comedy [ˈkɒm.ə.di]
velitel,commander [kəˈmɑːn.dər]
srovnání,comparison [kəmˈpær.ɪ.sən]
porazit,defeat [dɪˈfiːt]
obrana,defence [dɪˈfens]
demokracie,democracy [dɪˈmɒk.rə.si]
oprávnit,entitle [ɪnˈtaɪ.təl]
přesný,exact [ɪɡˈzækt]
vystavit,expose [ɪkˈspəʊz]
zranit,injure [ˈɪn.dʒər]
hudební,musical [ˈmjuː.zɪ.kəl]
nos,nose [nəʊz]
odporovat,oppose [əˈpəʊz]
(z)organizovat,organize [ˈɔː.ɡən.aɪz]
plast,plastic [ˈplæs.tɪk]
citát,quote [kwəʊt]
tušit,suspect [səˈspekt]
přísahat,swear [sweər]
technika,technique [tekˈniːk]
kravata,tie [taɪ]
trend,trend [trend]
cenný,valuable [ˈvæl.jə.bəl]
bohatství,wealth [welθ]
moudrý,wise [waɪz]
