kvalifikovat se,qualify [ˈkwɑː.lə.faɪ]
vzorek,sample [ˈsæm.pəl]
druhotný,secondary [ˈsek.ən.der.i]
sluneční,solar [ˈsoʊ.lɚ]
nějak,somehow [ˈsʌm.haʊ]
trpět,suffer [ˈsʌf.ɚ]
konečný,ultimate [ˈʌl.tə.mət]
neznámý,unknown [ʌnˈnoʊn]
připojit,attach [əˈtætʃ]
automaticky,automatically [ˌɑː.t̬əˈmæt̬.ɪ.kəl.i]
baterie,battery [ˈbæt̬.ɚ.i]
slepý,blind [blaɪnd]
dech,breath [breθ]
stručný,brief [briːf]
truhla,chest [tʃest]
debut,debut [deɪˈbju]
věnovat se,engage [ɪnˈɡeɪdʒ]
vnější,external [ɪkˈstɝː.nəl]
představa,fantasy [ˈfæn.tə.si]
popadnout,grab [ɡræb]
bezprostřední,immediate [ɪˈmiː.di.ət]
úvod,introduction [ˌɪn.trəˈdʌk.ʃən]
Oficiální povolení k činnosti,license [ˈlaɪ.səns]
letec,pilot [ˈpaɪ.lət]
růžový,pink [pɪŋk]
prezidentský,presidential [ˌprez.ɪˈden.ʃəl]
ředitel(ka) školy,principal [ˈprɪn.sə.pəl]
(roz)poznat,recognize [ˈrek.əɡ.naɪz]
pravidelně,regularly [ˈreɡ.jə.lɚ.li]
přepravní poplatky,shipping [ˈʃɪp.ɪŋ]
zpěvák,singer [ˈsɪŋ.ɚ]
kouření,smoking [ˈsmoʊ.kɪŋ]
pára,steam [stiːm]
přežít,survive [sɚˈvaɪv]
vysoký,tall [tɑːl]
terapie,therapy [ˈθer.ə.pi]
svědek,witness [ˈwɪt.nəs]
adoptovat,adopt [əˈdɑːpt]
cíl (zamýšlený),aim [eɪm]
kampus,campus [ˈkæm.pəs]
čepice,cap [kæp]
dětství,childhood [ˈtʃaɪld.hʊd]
klinický,clinical [ˈklɪn.ɪ.kəl]
komedie,comedy [ˈkɑː.mə.di]
velitel,commander [kəˈmæn.dɚ]
srovnání,comparison [kəmˈper.ɪ.sən]
porazit,defeat [dɪˈfiːt]
obrana,defence [dɪˈfens]
demokracie,democracy [dɪˈmɑː.krə.si]
oprávnit,entitle [ɪnˈtaɪ.t̬əl]
přesný,exact [ɪɡˈzækt]
vystavit,expose [ɪkˈspoʊz]
zranit,injure [ˈɪn.dʒɚ]
hudební,musical [ˈmjuː.zɪ.kəl]
nos,nose [noʊz]
odporovat,oppose [əˈpoʊz]
(z)organizovat,organize [ˈɔːr.ɡən.aɪz]
plast,plastic [ˈplæs.tɪk]
citát,quote [kwoʊt]
tušit,suspect [səˈspekt]
přísahat,swear [swer]
technika,technique [tekˈniːk]
kravata,tie [taɪ]
trend,trend [trend]
cenný,valuable [ˈvæl.jə.bəl]
bohatství,wealth [welθ]
moudrý,wise [waɪz]
starý,aged [eɪdʒd]
schválení,approval [əˈpruː.vəl]
aspekt,aspect [ˈæs.pekt]
chléb,bread [bred]
spalující,burning [ˈbɝː.nɪŋ]
zvyklost,convention [kənˈven.ʃən]
tancování,dancing [ˈdæn.sɪŋ]
vajíčko,egg [eɡ]
inženýr,engineer [ˌen.dʒɪˈnɪr]
ekvivalent,equivalent [ɪˈkwɪv.əl.ənt]
docela,fairly [ˈfer.li]
prst,finger [ˈfɪŋ.ɡɚ]
brod,ford [fɔːrd]
gang,gang [ɡæŋ]
absolvent,graduate [ˈɡrædʒ.u.ət]
vnitřní,inner [ˈɪn.ɚ]
svezení,lift [lɪft]
mlynář,miller [ˈmɪl.ɚ]
měsíční,monthly [ˈmʌn.θli]
sousedství,neighborhood [ˈneɪ.bɚ.hʊd]
provozovat,operate [ˈɑː.pə.reɪt]
vynikající,outstanding [ˌaʊtˈstæn.dɪŋ]
svolení,permission [pɚˈmɪʃ.ən]
závodění,racing [ˈreɪ.sɪŋ]
předpis,regulation [ˌreɡ.jəˈleɪ.ʃən]
odpověď,reply [rɪˈplaɪ]
zbavit,rid [rɪd]
vědec,scientist [ˈsaɪ.ən.tɪst]
rameno,shoulder [ˈʃoʊl.dɚ]
sprcha,shower [ˈʃaʊ.ɚ]
věž,tower [ˈtaʊ.ɚ]
tradice,tradition [trəˈdɪʃ.ən]
vizuální,visual [ˈvɪʒ.u.əl]
kolo,wheel [wiːl]
jmenování,appointment [əˈpɔɪnt.mənt]
sotva,barely [ˈber.li]
(o)slavit,celebrate [ˈsel.ə.breɪt]
čokoláda,chocolate [ˈtʃɑːk.lət]
uhlí,coal [koʊl]
barva,colour [ˈkʌl.ɚ]
soudobý,contemporary [kənˈtem.pə.rer.i]
kritika,criticism [ˈkrɪt̬.ɪ.sɪ.zəm]
efektivně,effectively [əˈfek.tɪv.li]
rozsáhlý,extensive [ɪkˈsten.sɪv]
utváření,formation [fɔːrˈmeɪ.ʃən]
galerie,gallery [ˈɡæl.ɚ.i]
dálnice,highway [ˈhaɪ.weɪ]
historický,historic [hɪˈstɔːr.ɪk]
lovit(zvěř ap.),hunt [hʌnt]
zlepšení,improvement [ɪmˈpruːv.mənt]
palec(míra),inch [ɪntʃ]
nejprve,initially [ɪˈnɪʃ.əl.i]
služebně mladší,junior [ˈdʒuː.njɚ]
porota,jury [ˈdʒʊr.i]
netvor,monster [ˈmɑːn.stɚ]
získat,obtain [əbˈteɪn]
filozofie,philosophy [fɪˈlɑː.sə.fi]
pýcha,pride [praɪd]
(z)opakovat,repeat [rɪˈpiːt]
drsný(povrch),rough [rʌf]
urovnání(sporu),settlement [ˈset̬.əl.mənt]
pach,smell [smel]
reproduktor,speaker [ˈspiː.kɚ]
obklopit,surround [səˈraʊnd]
tón,tone [toʊn]
téma,topic [ˈtɑː.pɪk]
univerzální,universal [ˌjuː.nəˈvɝː.səl]
obrovský,vast [væst]
návštěvník,visitor [ˈvɪz.ɪ.t̬ɚ]
auto,auto [ˈɑː.t̬oʊ]
důsledný,consistent [kənˈsɪs.tənt]
šedá,grey [ɡreɪ]
kytara,guitar [ɡɪˈtɑːr]
ignorovat,ignore [ɪɡˈnɔːr]
jídlo,meal [mɪəl]
zatím,meanwhile [ˈmiːn.waɪl]
přirozeně,naturally [ˈnætʃ.ɚ.əl.i]
nutně,necessarily [nes.əˈser.əl.i]
hekat,pant [pænt]
partnerství,partnership [ˈpɑːrt.nɚ.ʃɪp]
procento,percentage [pɚˈsen.t̬ɪdʒ]
kapsa,pocket [ˈpɑː.kɪt]
praktický,practical [ˈpræk.tɪ.kəl]
především,primarily [praɪˈmer.əl.i]
bez ohledu na to,regardless [rɪˈɡɑːrd.ləs]
spěchat,rush [rʌʃ]
ostrý,sharp [ʃɑːrp]
fotbal,soccer [ˈsɑː.kɚ]
