potěr,fry [fraɪ]
rušit,disturb [dɪˈstɜːb]
brnění,armor [ˈɑː.mər]
Obnovit,refresh [rɪˈfreʃ]
narkoman,addict [ˈæd.ɪkt]
vyčerpat,exhaust [ɪɡˈzɔːst]
nálepka,sticker [ˈstɪk.ər]
bobtná,swell [swel]
optický,optic [ˈɒp.tɪk]
velkosklad,warehouse [ˈweə.haʊs]
vdova,widow [ˈwɪd.əʊ]
správce (majetku ap.),administrator [ədˈmɪn.ɪ.streɪ.tər]
vcelku,altogether [ˌɔːl.təˈɡeð.ər]
animovat,animate [ˈæn.ɪ.mət]
zhodnotit,assess [əˈses]
předpoklad,assumption [əˈsʌmp.ʃən]
ujistit,assure [əˈʃɔːr]
koš(ík),basket [ˈbɑː.skɪt]
vousy,beard [bɪəd]
deka,blanket [ˈblæŋ.kɪt]
kbelík,bucket [ˈbʌk.ɪt]
okouzlující,charming [ˈtʃɑː.mɪŋ]
(vy)počítat,compute [kəmˈpjuːt]
soustředit se,concentrate [ˈkɒn.sən.treɪt]
světadíl,continent [ˈkɒn.tɪ.nənt]
kletba,curse [kɜːs]
odtok,drain [dreɪn]
emise,emission [iˈmɪʃ.ən]
etický,ethical [ˈeθ.ɪ.kəl]
znamenitost,excellence [ˈek.səl.əns]
plamen,flame [fleɪm]
volně (svobodně),freely [ˈfriː.li]
promoce,graduation [ˌɡrædʒ.uˈeɪ.ʃən]
narážka (náznak),hint [hɪnt]
obzor,horizon [həˈraɪ.zən]
nepřátelský,hostile [ˈhɒs.taɪl]
obyvatel,inhabitant [ɪnˈhæb.ɪ.tənt]
inkoust,ink [ɪŋk]
matice (číselná),matrix [ˈmeɪ.trɪks]
zkroušený,miserable [ˈmɪz.ər.ə.bəl]
spád (rychlý průběh),momentum [məˈmen.təm]
opice,monkey [ˈmʌŋ.ki]
motocykl,motorcycle [ˈməʊ.təˌsaɪ.kəl]
celonárodní,nationwide [ˌneɪ.ʃənˈwaɪd]
hnízdo,nest [nest]
pěkně,nicely [ˈnaɪs.li]
nominace,nomination [ˌnɒm.ɪˈneɪ.ʃən]
pozoruhodný,notable [ˈnəʊ.tə.bəl]
závazek (povinnost),obligation [ˌɒb.lɪˈɡeɪ.ʃən]
optický,optical [ˈɒp.tɪ.kəl]
vyhlídka,outlook [ˈaʊt.lʊk]
pence,penny [ˈpen.i]
drobný (nevýznamný),petty [ˈpet.i]
množství,quantity [ˈkwɒn.tə.ti]
kvantový,quantum [ˈkwɒn.təm]
duha,rainbow [ˈreɪn.bəʊ]
rákos,reed [riːd]
panovat,reign [reɪn]
snímat (počítačem),scan [skæn]
podvolení se,submission [səbˈmɪʃ.ən]
slunný,sunny [ˈsʌn.i]
závěť,testament [ˈtes.tə.mənt]
prst (na noze),toe [təʊ]
ohromný (velmi veliký),tremendous [trɪˈmen.dəs]
ubytování,accommodation [əˌkɒm.əˈdeɪ.ʃən]
rozkošný,adorable [əˈdɔː.rə.bəl]
údajně,allegedly [əˈledʒ.ɪd.li]
sanitka,ambulance [ˈæm.bjə.ləns]
zahanbený,ashamed [əˈʃeɪmd]
tajné hlasování,ballot [ˈbæl.ət]
požehnání,blessing [ˈbles.ɪŋ]
hřbitov,cemetery [ˈsem.ə.tri]
podvádět,cheat [tʃiːt]
Chile,chile [ˈtʃɪl.i]
kompaktní,compact [kəmˈpækt]
schodek,deficit [ˈdef.ɪ.sɪt]
démon,demon [ˈdiː.mən]
demonstrace,demonstration [ˌdem.ənˈstreɪ.ʃən]
detekovat,detect [dɪˈtekt]
detekce,detection [dɪˈtek.ʃən]
panenka,doll [dɒl]
darovat,donate [dəʊˈneɪt]
propracovaný (do detailů),elaborate [iˈlæb.ər.ət]
