hřeben,comb [kəʊm]
šipka,dart [dɑːt]
toulat se,roam [rəʊm]
zředit,dilute [daɪˈluːt]
rozpoutat,unleash [ʌnˈliːʃ]
diverzifikovat,diversify [daɪˈvɜː.sɪ.faɪ]
čichat,sniff [snɪf]
bolest,ache [eɪk]
křičet,whoop [wuːp]
přetékat,overflow [ˌəʊ.vəˈfləʊ]
degradovat,degrade [dɪˈɡreɪd]
vřesoviště,moor [mɔːr]
omámit,intoxicate [ɪnˈtɒk.sɪ.keɪt]
zvrhlík,pervert [pəˈvɜːt]
pozlatit,gild [ɡɪld]
rekonstruovat,reconstruct [ˌriː.kənˈstrʌkt]
proudnice,streamline [ˈstriːm.laɪn]
vymýt mozek,brainwash [ˈbreɪn.wɒʃ]
překroutit,skew [skjuː]
aerodynamický,aerodynamic [ˌeə.rəʊ.daɪˈnæm.ɪk]
přehánět,exaggerate [ɪɡˈzædʒ.ə.reɪt]
blikat,flicker [ˈflɪk.ər]
šindel,shingle [ˈʃɪŋ.ɡəl]
nebeský,celestial [sɪˈles.ti.əl]
charakterizace,characterization [ˌkær.ək.tə.raɪˈzeɪ.ʃən]
konformovat,conform [kənˈfɔːm]
naopak,conversely [ˈkɒn.vɜːs.li]
hraběnka,countess [ˈkaʊn.tes]
obvyklý,customary [ˈkʌs.tə.mər.i]
věnovat,devote [dɪˈvəʊt]
zřetelně,distinctly [dɪˈstɪŋkt.li]
vzkvétat,flourish [ˈflʌr.ɪʃ]
kvetoucí,flowering [flaʊər]
vůně,fragrance [ˈfreɪ.ɡrəns]
houba,fungus [ˈfʌŋ.ɡəs]
střelba,gunfire [ˈɡʌn.faɪər]
hrdinka,heroine [ˈher.əʊ.ɪn]
Hoax,hoax [həʊks]
hrozící,impending [ɪmˈpen.dɪŋ]
nevýznamný,insignificant [ˌɪn.sɪɡˈnɪf.ɪ.kənt]
pojišťovatel,insurer [ɪnˈʃɔː.rər]
informovaný,knowledgeable [ˈnɒl.ɪ.dʒə.bəl]
spodní prádlo,lingerie [ˈlɒn.ʒər.i]
lite,lite [laɪt]
číhat,lurk [lɜːk]
Madden,madden [ˈmæd.ən]
kouzelník,magician [məˈdʒɪʃ.ən]
manévr,maneuver [məˈnuː.vər]
dřeň,marrow [ˈmær.əʊ]
úžasný,marvelous [ˈmɑːr.vəl.əs]
Mas,mas [mɑː]
léčivý,medicinal [məˈdɪs.ɪ.nəl]
mono,mono [ˈmɒn.əʊ]
otupělý,numb [nʌm]
vynechat,omit [əʊˈmɪt]
pečivo,pastry [ˈpeɪ.stri]
pěšák,pawn [pɔːn]
přetrvávat,persist [pəˈsɪst]
personalizovat,personalize [ˈpɜː.sən.əl.aɪz]
omítka,plaster [ˈplɑː.stər]
hravý,playful [ˈpleɪ.fəl]
nepředvídatelný,quirky [ˈkwɜː.ki]
kvóta,quota [ˈkwəʊ.tə]
Odůvodnění,rationale [ˌræʃ.əˈnɑːl]
sklízet,reap [riːp]
vystoupení,recess [ˈriː.ses]
vykoupit,redeem [rɪˈdiːm]
reformace,reformation [ˌref.əˈmeɪ.ʃən]
zbytek,residue [ˈrez.ɪ.dʒuː]
Odtok,runoff [ˈrʌn.ɒf]
polovodič,semiconductor [ˌsem.i.kənˈdʌk.tər]
simultánní,simultaneous [ˌsɪm.əlˈteɪ.ni.əs]
úryvek,snatch [snætʃ]
teniska,sneaker [ˈsniː.kər]
strašidelný,spooky [ˈspuː.ki]
Stealth,stealth [stelθ]
napjatý,strained [streɪnd]
podmnožina,subset [ˈsʌb.set]
napětí,suspense [səˈspens]
syntax,syntax [ˈsɪn.tæks]
tad,tad [tæd]
tandem,tandem [ˈtæn.dəm]
Televise,televise [ˈtel.ɪ.vaɪz]
terciární,tertiary [ˈtɜː.ʃər.i]
štítná žláza,thyroid [ˈθaɪ.rɔɪd]
uklidit,tidy [ˈtaɪ.di]
nadčasový,timeless [ˈtaɪm.ləs]
nespolehlivý,unreliable [ˌʌn.rɪˈlaɪə.bəl]
pozitivní,upbeat [ʌpˈbiːt]
použitelný,usable [ˈjuː.zə.bəl]
předvoj,vanguard [ˈvæn.ɡɑːd]
zvracení,vomit [ˈvɒm.ɪt]
vulgární,vulgar [ˈvʌl.ɡər]
vzdání se,waiver [ˈweɪ.vər]
kabeláž,wiring [ˈwaɪə.rɪŋ]
adrenalin,adrenaline [əˈdren·əl·ən]
zmírnit,alleviate [əˈliː.vi.eɪt]
anarchie,anarchy [ˈæn.ə.ki]
na břehu,ashore [əˈʃɔːr]
aura,aura [ˈɔː.rə]
taneční sál,ballroom [ˈbɔːl.ruːm]
začátečník,beginner [bɪˈɡɪn.ər]
bilingvní,bilingual [baɪˈlɪŋ.ɡwəl]
baldachýn,canopy [ˈkæn.ə.pi]
milovat,cherish [ˈtʃer.ɪʃ]
smích,chuckle [ˈtʃʌk.əl]
civilizovaný,civilized [ˈsɪv.əl.aɪzd]
odsouzení,condemnation [ˌkɒn.dəmˈneɪ.ʃən]
křižník,cruiser [ˈkruː.zər]
kučera,curl [kɜːl]
strhnout,demolish [dɪˈmɒl.ɪʃ]
džínovina,denim [ˈden.ɪm]
závislost,dependency [dɪˈpen.dən.si]
rosa,dew [dʒuː]
odpojené,disconnected [ˌdɪs.kəˈnek.tɪd]
nečestný,dishonest [dɪˈsɒn.ɪst]
dávkování,dosage [ˈdəʊ.sɪdʒ]
pochybný,doubtful [ˈdaʊt.fəl]
nadace,endowment [ɪnˈdaʊ.mənt]
vyrýt,engrave [ɪnˈɡreɪv]
obohacení,enrichment [ɪnˈrɪtʃ.mənt]
