hřeben,comb [koʊm]
šipka,dart [dɑːrt]
toulat se,roam [roʊm]
zředit,dilute [daɪˈluːt]
rozpoutat,unleash [ʌnˈliːʃ]
diverzifikovat,diversify [dɪˈvɝː.sə.faɪ]
čichat,sniff [snɪf]
bolest,ache [eɪk]
křičet,whoop [wuːp]
přetékat,overflow [ˌoʊ.vɚˈfloʊ]
degradovat,degrade [dɪˈɡreɪd]
vřesoviště,moor [mʊr]
omámit,intoxicate [ɪnˈtɑːk.sɪ.keɪt]
zvrhlík,pervert [pɚˈvɝːt]
pozlatit,gild [ɡɪld]
rekonstruovat,reconstruct [ˌriː.kənˈstrʌkt]
proudnice,streamline [ˈstriːm.laɪn]
vymýt mozek,brainwash [ˈbreɪn.wɑːʃ]
překroutit,skew [skjuː]
aerodynamický,aerodynamic [ˌer.oʊ.daɪˈnæm.ɪk]
přehánět,exaggerate [ɪɡˈzædʒ.ə.reɪt]
blikat,flicker [ˈflɪk.ɚ]
šindel,shingle [ˈʃɪŋ.ɡəl]
nebeský,celestial [sɪˈles.tʃəl]
charakterizace,characterization [ˌker.ək.tə.rəˈzeɪ.ʃən]
konformovat,conform [kənˈfɔːrm]
naopak,conversely [ˈkɑːn.vɝːs.li]
hraběnka,countess [ˈkaʊn.t̬əs]
obvyklý,customary [ˈkʌs.tə.mer.i]
věnovat,devote [dɪˈvoʊt]
zřetelně,distinctly [dɪˈstɪŋkt.li]
vzkvétat,flourish [ˈflɝː.ɪʃ]
kvetoucí,flowering [ˈflaʊ.ɚ]
vůně,fragrance [ˈfreɪ.ɡrəns]
houba,fungus [ˈfʌŋ.ɡəs]
střelba,gunfire [ˈɡʌn.faɪr]
hrdinka,heroine [ˈher.oʊ.ɪn]
Hoax,hoax [hoʊks]
hrozící,impending [ɪmˈpen.dɪŋ]
nevýznamný,insignificant [ˌɪn.sɪɡˈnɪf.ə.kənt]
pojišťovatel,insurer [ɪnˈʃʊr.ɚ]
informovaný,knowledgeable [ˈnɑː.lɪ.dʒə.bəl]
spodní prádlo,lingerie [ˌlɑːn.ʒəˈreɪ]
lite,lite [laɪt]
číhat,lurk [lɝːk]
Madden,madden [ˈmæd.ən]
kouzelník,magician [məˈdʒɪʃ.ən]
manévr,maneuver [məˈnuː.vɚ]
dřeň,marrow [ˈmer.oʊ]
úžasný,marvelous [ˈmɑːr.vəl.əs]
Mas,mas [mɑː]
léčivý,medicinal [məˈdɪs.ɪ.nəl]
mono,mono [ˈmɑː.noʊ]
otupělý,numb [nʌm]
vynechat,omit [oʊˈmɪt]
pečivo,pastry [ˈpeɪ.stri]
pěšák,pawn [pɑːn]
přetrvávat,persist [pɚˈsɪst]
personalizovat,personalize [ˈpɝː.sən.əl.aɪz]
omítka,plaster [ˈplæs.tɚ]
hravý,playful [ˈpleɪ.fəl]
nepředvídatelný,quirky [ˈkwɝː.ki]
kvóta,quota [ˈkwoʊ.t̬ə]
Odůvodnění,rationale [ˌræʃ.əˈnæl]
sklízet,reap [riːp]
vystoupení,recess [ˈrɪː.ses]
vykoupit,redeem [rɪˈdiːm]
reformace,reformation [ˌref.ɚˈmeɪ.ʃən]
zbytek,residue [ˈrez.ə.duː]
